company,title,job_title,job_summary,city,state,state1,region
Ross County Health District,Data Analyst,Data Analyst 1,"The Ross County Health District, as an equal opportunity employer, strives to hire and maintain a diverse and inclusive workforce that reflects the culture and…",Chillicothe,OH, Ohio,Midwest
Insight2Profit,Data Analyst,Business Analyst - Summer 2020 Internship,"At INSIGHT2PROFIT, you can expect more than just a job or a career. You can expect to have the opportunity to challenge yourself and be around a passionate…",Beachwood,OH, Ohio,Midwest
Ohio State University Medical Center,Data Analyst,Genetic Data Analyst,"Minimum 3 years'' experience programming in high-level languages (Perl, Python, SQL, R, Bash shell), querying and summarizing data, performing statistical…",Columbus,OH, Ohio,Midwest
Silfex,Data Analyst,Financial/Business Analyst 4,Apply financial principles for cost analysis of processes and products Apply financial principles for project management Detail analysis of financial valuation…,Springfield,OH, Ohio,Midwest
Step2,Data Analyst,Business Analyst- Operations,"The Step2 Company, the largest American manufacturer of preschool and toddler toys and the world’s largest rotational molder of plastics, is looking for a…",Streetsboro,OH, Ohio,Midwest
Greater Dayton Regional Transit Authority,Data Analyst,Business Analyst - Operations,"Under the immediate supervision of the Transportation Manager-Operations, the Business Analyst works closely with internal clients to ensure application systems…",Dayton,OH, Ohio,Midwest
Kelly Services,Data Analyst,Urgent Need - Data Analyst - Mason OH,"Kelly Services is seeking a Data Analyst for a market leader in the design, manufacture and distribution of fashion, luxury, sports and performance eyewear…",Mason,OH, Ohio,Midwest
American Chemical Society,Data Analyst,Business Analyst,Excellent time management skills and attention to detail. Excellent time management skills and attention to detail. CAS is currently seeking a Business Analyst.,Columbus,OH, Ohio,Midwest
Numerator,Data Analyst,Data Analyst (Bilingual Spanish),"Attention to detail is a must. Numerator is a market intelligence firm that brings together omnichannel marketing, merchandising and sales data to make pursuing…",Solon,OH, Ohio,Midwest
Signet Jewelers,Data Analyst,Sr. Store Development Data Analyst,"This position is responsible for the analysis of the Department business data. Includes Construction, Procurement, Design and Maintenance disciplines for both…",Akron,OH, Ohio,Midwest
Moen,Data Analyst,Product Development Data Analyst,The Senior Product Data Analyst in grade 53 is a senior level role and requires a minimum of 5 years of related analytics experience to include experience in…,Cleveland,OH, Ohio,Midwest
Cohen & Company,Data Analyst,"Business Analyst [Cleveland, OH]","Keen sense of creative thinking, attention to detail and problem solving. Cohen & Company offers a full range of accounting, tax and consulting services to…",Cleveland,OH, Ohio,Midwest
"Vertical Knowledge, LLC",Data Analyst,Business Analyst,Excellent attention to detail and critical analysis skills. Vertical Knowledge is a Cleveland-based open source data technology company.,Chagrin Falls,OH, Ohio,Midwest
Towards Employment,Data Analyst,Program Data Analyst, Strong attention to detail. Promoting Access to Credentials and Employment (PACE) Program . Program Manager / Lead Data Specialist .,Cleveland,OH, Ohio,Midwest
Federal Reserve Bank of Cleveland,Data Analyst,2020 Summer Internship - Bank Supervision/Data Science,"Travel Yes, 5 % of the Time. Must be proactive, self-directed, strong attention to detail and organized. Must be proactive, self-directed, strong attention to…",Cleveland,OH, Ohio,Midwest
ComResource,Data Analyst,Data/Business Analyst,"This hybrid role will be a blend of Business and Data Analysis requiring strong technical and analytical skills, business acumen, superior communications and…",Columbus,OH, Ohio,Midwest
Orthopedic One,Data Analyst,Data Analyst,Associates or Bachelors Degree in a business or information technology major preferred with a minimum of 2 - 3 years’ experience in an analytics or business…,Dublin,OH, Ohio,Midwest
Kelly Services,Data Analyst,Urgent Need - Business Analyst- Mason OH,Ability to combine strategic vision with everyday tactical detail and a strong urge for action. Kelly Services is seeking an Business Analyst for a market…,Mason,OH, Ohio,Midwest
ProSource,Data Analyst,Business Analyst,Translating solution discovery into software implementations that meet business goals. Defining business requirements and reporting them back to stakeholders.,West Chester,OH, Ohio,Midwest
Fast Switch,Data Analyst,Sr. Business Analyst,"Our client in Orrville, Ohio is seeking a Sr. Foundational understanding of Data Sciences space. Work closely and collaborate with team members.",Orrville,OH, Ohio,Midwest
Race Winning Brands,Data Analyst,Data Analyst,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Mentor,OH, Ohio,Midwest
Aver Inc.,Data Analyst,Healthcare Data Analyst,Aver is looking to add to its stellar Analytics team by hiring a Healthcare Data Analyst. The Healthcare Data Analyst is responsible for analyzing and executing…,Columbus,OH, Ohio,Midwest
The Paragon Group,Data Analyst,Data Analyst,"The Paragon Group is a Columbus, Ohio based Information Technology firm delivering high quality, cost effective resources to a progressive clientele.",Columbus,OH, Ohio,Midwest
Progressive,Data Analyst,Data Analyst Lead,This is an exciting and unique opportunity for an experienced analyst to help drive the agenda in Claims. This Lead Analyst will focus [twice a year] on an in…,Mayfield Heights,OH, Ohio,Midwest
National Interstate Insurance Company,Data Analyst,Data Analyst - Passenger Transportation,"2 to 5 years of related underwriting, claims, or product experience. National Interstate is a member of Great American Insurance Group.",Richfield,OH, Ohio,Midwest
AETNA,Data Analyst,Business Analyst,Gathers initial data in support of research on various projects and may generate reports for internal programs. May assist with the analysis and research.60350.,New Albany,OH, Ohio,Midwest
Signet Jewelers,Data Analyst,Business Analyst,"Database (source) design, maintenance and interrogation are essential to this role as well as ensuring accuracy and detail is upheld in all information…",Akron,OH, Ohio,Midwest
Verizon,Data Scientist,Data Analytics Consultant,"You’re analytical, organized, and detail oriented. Ability to thrive in a dynamic environment with strong attention to detail. You communicate well with others.",Hilliard,OH, Ohio,Midwest
AML RightSource,Data Scientist,Financial Crimes Advisory Associate (Data Analytics),Is the leading firm solely focused on AML/BSA and financial crimes compliance solutions. We provide highly-trained AML/BSA professionals to assist banks and non…,Cleveland,OH, Ohio,Midwest
Park National Bank,Data Analyst,Mortgage Business Analyst,"Maintain a working knowledge of information systems, policies, procedures and regulations that apply to mortgage lending activities.",Newark,OH, Ohio,Midwest
"Columbus, OH 43215 (Downtown area)",Data Analyst,Sr. Business Data Analyst,3 to 5 years of analytics experience. SOUTHERN OHIO PAVING - UPSTONE MATERIALS. The road to your future starts with Barrett Industries.,Columbus,OH, Ohio,Midwest
Great American Insurance Group,Data Analyst,Data Analytics Intern - Summer 2020,"National Interstate is a member of Great American Insurance Group. As one of the leading commercial transportation insurers in the nation, we offer risk…",Richfield,OH, Ohio,Midwest
